Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,BPI_Off1,BPI_Off2,BPI_Def1,BPI_Def2,BPI1,BPI2,Elo1,Elo2,Score1,Score2,Eff_Diff,Score_Diff,Winner
Memphis,Missouri,28.67,24.81,112.8,116.6,84.2,91.8,4.73,7.96,105.5,106.4,100.8,98.4,8.1,12.9,10.3,2.9,18.5,15.8,1743.116338,1712.186856,91,102,3.86,-11,1
Xavier,Pittsburgh,20.24,28.96,111,121.2,90.8,92.3,5.81,10.11,105.8,108.1,100,98,6.1,11,7.3,7,13.5,18.1,1723.778172,1758.879315,55,60,-8.72,-5,1
Duke,Villanova,24.31,23.89,117.5,114.4,93.2,90.5,10.23,9.99,108.5,108.9,98.3,98.9,11.3,10.5,7,5.3,18.4,15.9,1726.724099,1709.600214,54,77,0.42,-23,1
North Carolina,Gonzaga,31.14,24.51,123.2,117.5,92.1,93,9.91,4.63,108.2,105.1,98.3,100.5,20.3,12.8,1.2,2.6,21.5,15.4,1761.299207,1700.259092,98,77,6.63,21,0
Syracuse,Oklahoma,22.21,24.59,117,118.3,94.8,93.7,11.46,9.49,108.4,108.3,97,98.9,13.4,10.8,0.4,3.7,13.8,14.5,1695.901102,1757.967884,71,84,-2.38,-13,1
Louisville,Michigan St.,26.06,24.37,111.2,114.3,85.2,89.9,9.57,12.33,108.6,109.4,99,97.1,7.8,7.8,9.6,6.1,17.4,14,1710.122257,1715.174508,52,64,1.69,-12,1
Connecticut,Missouri,29.25,24.81,116,116.6,86.8,91.8,10.37,7.96,109,106.4,98.6,98.4,12.3,12.9,6.4,2.9,18.6,15.8,1752.288411,1712.186856,82,75,4.44,7,0
Pittsburgh,Villanova,28.96,23.89,121.2,114.4,92.3,90.5,10.11,9.99,108.1,108.9,98,98.9,11,10.5,7,5.3,18.1,15.9,1758.879315,1709.600214,76,78,5.07,-2,1
Oklahoma,North Carolina,24.59,31.14,118.3,123.2,93.7,92.1,9.49,9.91,108.3,108.2,98.9,98.3,10.8,20.3,3.7,1.2,14.5,21.5,1757.967884,1761.299207,60,72,-6.55,-12,1
Connecticut,Michigan St.,29.25,24.37,116,114.3,86.8,89.9,10.37,12.33,109,109.4,98.6,97.1,12.3,7.8,6.4,6.1,18.6,14,1752.288411,1715.174508,73,82,4.88,-9,1
